content,labels
다리에 줄서서 아무것도 못하노 ㅋㅋㅋ 시발 ㅋㅋ 와우 알터렉전장 40vs40보면 기절하겠노;;,0
전라남도 신안군 가거도 자택에서 검거,0
현실에서 티 못내니까 여기서 내나봐,0
진짜들은 격이 다르노 ㅋㅋㅋ,0
그냥 미국이 한반도 지배하면 안되냐? 맨날 정치인들 군인들 욕할게 아니라 걍 미국령 코리아 되는게 나을거같은데 미국 싫은새끼들은 걍 한국인 자치구나 북한으로 가고 미국의 통치를 받고 싶은 새끼들은 미국령으로 들어가면 얼마나 좋누,1
나는 니가 저 기자의 용기를 업적달성이라고 말하는 그게 역겨워서 그래 ㅋㅋㅋ,0
클로이도 9장하자,0
초경모유치즈 읽는데 무슨 말인지 뇌에서 이해를 못하노 ㅋㅋㅋ,0
마누라 애호해,0
토나오긴 ㅋㅋ 니 몸뚱아리로는 아무도 딸 안쳐주니까 그저 질투심 열등감에 토나오는거지,0
중국몽 함께하겠다,0
미성년자 트로피와이프는 ㅈ도 금시초문인데??? ㅋㅋㅋ,0
상식적인 말을 할 수 있는 사람이 대통령이 돼야 한다고.. 박근혜문재인처럼 유체이탈화법하는 씹것들을 또 봐야하냐? 윤석열 말 하는 꼬라지를봐. 이 씹새끼도 유체이탈화법이야. 홍준표나 유승민인데 보수가 이길려면 유승민이 후보가 돼야 함. 유승민은 중도까지 끌어올 수 있는데 홍준표는 잘못하면 이재명한테 짐,1
에휴.. 몇십년째 저ㅈㄹ인데 안 망하는게 신기,0
ㄹㅇ 존나멋짐,0
열등감임,0
(보다는 킹갓 오스만이 로마의 후예지) 이걸 본론이라고 써놨는데 드립듣고 쳐 웃게 생겼냐??,0
아들은 장동건 닮고 딸은 고소영 닮아라....보기 좋습니다,0
이재명ㅋㅋㅋ,0
든든하노 ㅋㅋㅋ 좆슬람은 정우성 집에라도 가서 기도모임해라 ㅋㅋㅋ,1
연출은 뛰어나지만 영화에서 인버전을 중복해서 설정하는부분은 조금 난잡했다. 결말을 보면 아~그때 그래서 그랬구나라고 이해는 할수있지만 그런게 너무많다 ㅋㅋ,0
호로새끼인건 똑같네,0
아니 씹 ㅋㅋㅋㅋㅋㅋ,0
솔히하때 존나 추했음 데미지가 진짜 말도 안되게 나오는데 이정도면 속겠지 싶어서 걍올린거,0
국어능력은 니가 갖춰야할 거 같은데? ㅋㅋㅋㅋ '이명박근혜 때부터'라는 말은 이명박근혜 전에는 없었다는 말이고 따라서 이명박근혜 때 시작했다는 말인데 지 입으로 하는 말에 모순을 못느끼나,0
못잡아서 완성,0
민주당이 압승인데 왜 이런걸로 지랄인지....,0
개씹악필 초딩만도못한 글씨첸데 이걸 쉴드치노 ㅋㅋ,1
배우가 무슨벼슬이야.직장인은 몇년만 쉬어도 경력단절에 나이제한에 걸리는데 연옌들은 푹쉬고 나와도 감성팔이에 돈벌고.ㅜ,0
그래서 당한 사람이 더 많음 이마트 홈플러스 롯데마트같은 대기업에서도 쓸수있으니까 다들 진짠줄안거지,0
여초딩 젖탱이도 아니고 여대생 젖탱이 주므르는게 무슨잘못?나라를 일으킨 거물급 영웅이 고작 계집년 젖한번 만진거가지고 대수는 장군에게 술과 여자는 옵션이다 홍어련아,2
성희롱 당할 얼굴이 아닌데?ㅋㅋㅋ,0
산에다 지어 산에,0
야짤이 훅들어오네,0
한국이면 야갤글 긁어다 복붙하면 기사완성인데 힘들게사노,0
‘사줘’,0
나도 이런글 올렸는데 업접제외 퀘면 안하면 되잖아? 왜열냄? 이지랄하는 댓글있더라.. 미친놈인줄.,0
진짜 총 많다,0
모든 배우가 빽보핑두다 오타쿠가 돼라,1
복붙맞음ㅋㅋ,0
홍준표가 유일하게 탈원전 지지 안했지,0
학교 무조건 보내야한다 인터넷으로 대체? 개 씹소린거 증명해버림,1
근데 현역 갔다와서 씹정은이랑 보진핑 찬양하는 애들은 사고가 어떤 기제로 작용하는거임?,0
주작무새들이 간과하는게 진짜 세상엔 별의별놈 다있음. 자기가 못봤다고 다 주작이 아니라 말이 안될거 같지만 저런일이 있을수 있다는 가능성을 열어둬야함.,0
궁뎅이 최대한 뒤로빼봐,0
갤주 ㅋㅋㅇㅈㄹㅋㅋㅈㅋㅋ 김유식인데,0
버섯국물 영양가있다는 소린 처음듣네 그냥 맛있어서 먹는건데,0
욘디,0
진짜 인간승리다ㅋ,0
ㄹㅇ 지들이 시민단체냐고 ㅋㅋㅋ,0
"뭔 씨발 그럼 글쓴놈은 스스로 가족하고 연 끊고 천애고아마냥 지 혼자 부사관입대해서 사는게 맞다는거냐? 연인, 돈, 지위도 없는데 이젠 뭐 가족까지 버려가며 살거면 씨발롬아 자주성이 뭐가 필요해 ㅋㅋ 애미뒤진 소리하고 있네 씹 ㅋㅋ",2
공원의 수호자 데스우,0
아무튼 실세즈가 잘못한듯,0
휘파람 뱀나오는썰은 틀딱들 산동네에서 살때 이야긴데 왜아직도 나오는지 모르겠네,0
뭔가 신기하긔,0
와 여기 어디냐? 주변에 집 알아봐야겠다,0
나비도 헛소리임ㅋㅋㅋ,0
이게 필요하다,0
어떡하냐 ㄷㄷ,0
심장소리가 들리네마네 장난치더니 진짜 유산되버려라.,0
강북쪽 대학교 금수저 많은거 체감된거 한예종밖에 없는데,0
난독 많누 사고사례로 언급해서 2차가해로 찔렀다는거자너 직접한게 아니라,0
우가다는 광고철회함,0
국정원 엔딩 시발ㅋㅋㅋㅋ,1
이새끼 처음으로 맞는말하네,0
루키 이번시즌은 ㄹㅇ 즙보다 못했음 그냥 망가졌어 이제,0
당많은거 잘 안먹는데 뭐긔,0
내신 좆되는 지역 ㅆㅅㅌㅊ여고 vs 내신 쉬운편인 남녀합반 ㅆㅎㅌㅊ공학,0
김치년들 열폭!그러려니 하세요,1
구글 번역기의 번역수준으로 봤을때 뭐라나오든 그게 근거는 안되는거 같고 주한미군이랑 얘기할 기회가 있는것도 드문일인데 그와중에 저걸 물어봣다는것도 존나 의심스러운데?,0
같이 들어가는걸로 cc 좀만 채워주면댐,0
꼬우면 군의관 토막치던가~,0
몸이 화났다고? 발정났나? 무슨 개같은소리 쳐하노?,0
오늘아침에도 뉴스댓글보니까 매크로 오지게 돌아가더만 팀이몇개나있을지모른다,0
김밥 값이 오르는 게 안타깝기는 한데 그거빼면 다 잘나왔네,0
이..이게뭐고,0
대구 미개하다는 새끼들 간과하고 있는점)이슬람보다 홍슬람이 더 미개하다.,2
너 맵찔이자너,0
뭐하는 개병신새끼냐 이건 심심하면 시비걸지말고 게임이나 해라. 시발 누가봐도 맘에안들어서 컴플레인건건데 상상력이 부족하냐?,1
뭐여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
지금이라도 알았으면 됐다. 주식하려면 공부 많이 해야 됨,0
이쁘네 ㅋㅋㅋ 오크먜갈년들 또 심통난거냐 ? 왜 ㅂㄷㅂㄷ 욕하고난리냐 ㅋㅋㅋ 하긴 니네면상은 견적이안나오니 ㅋㅋ,1
이게 다 자연이 선택하는 거다. 도태되는 것들은 도태되야 하지. 음흠. 그것이 인생이다.,0
수집가면 이벤트 보스 잖아 아군으로 들어옴??,0
음주운전법이 너무 약하니까 이런 쓰레기들이 길에 돌아다니는거 아닙니까 집주인만 적폐 만들지 말고 저런 쓰레기들도 처리하는 법좀 만드세요,0
힘내라 요즘 의학 좋은데 잘 나을 거임,0
자~ 재이니먼저 임상시험 드가자~,0
니가 금붕어새끼라서,0
파딱달렸노 ㅋㅋㅋㅋㅋ,0
어차피 탈레반 윗선들이 저거 다 처먹고 똑같이 즈그들끼리 해처먹을듯 ㅋㅋ,0
철구다철구,0
다 지나간 일을 굳이 다시 끄집어내고 악플로 보내놓고 또한사람 죽이려고 제작했나보다 설리가 불편한게 아니라 이런 거지같은 프로 만든 담당자 엠빙ㅡ신이 더 불편하네,1
스모키 창작 진짜 많네,0
머고시발ㅋㅋ,0
니네나라 뱃놈들 전부 불러들여라 남의나라에서 뭐하는짓꺼리인지,0
동숙이형 실망이네..,0
역시 더듬어내로남불새끼들 실망시키지않는구만 ㅋㅋ,1
포인트 1. 그녀들은 여자가 무조건 남자보다 돈 적게 내야 된다고 생각함 2. 그녀들은 돈을 벌어본적이 없으니 경제관념 씹창이라 억이 옆집 개이름인줄 앎,0
하루하루 어울리는색 다르다할거긔,0
이재명 예시가 거북하면 이명박 오세훈도 있고 ㅇㅇ 이 사람들뿐만 아니라 다 자기가 열심히 노력해서 흙수저 탈출한 사람들 많다,0
안띄워도 그놈들이 알아서 볼 것.,0
더 가져와,0
이해 안되는게 어딨음? 먹고살려고 하는건데,0
"조씨, 의사 ㅋㅋㅋ 하나같이 ㅋㅋㅋ",0
중앙일보도 돈벌기 어렵나보네.. 네 다음 광고.,0
ㅋ 애초에 영상 대부분은 집단 VS 집단 엔드컨텐츠를 구현한 영상이잖아. 비선형 샌드박스 MMORPG 시대에 암것도 안해보고 허구헌날 스크립트 덩어리만 놀아본 겜알못 인증 제대로 하네 ㅋㅋ 깔만한거 많은데 왜 이런걸 까서 병신 커밍 아웃 하는지 이해가 안감 ㅋ,1
제로페이도 뭐 안터지나,0
그러니 군대가서 훈련받자,0
비오는날에 어울리는 영화 추천해주시긔,0
실제로도 애미 거의싹다 뒤진 여가부발 인포그래픽이겟지,1
아보키에서 옷사본사람있음?,0
디시는 서버 어디에 있더라? 디시도 잘 안줄텐데,0
아니 뒤가 아예 뚫려있어서 무반동으로 쏘다가 뒤가 막힐수록 뒤로 밀려나겠지 똥멍청인가,0
고수를 유전자 단위로 거부해버려서 고수 없고 빨간색 베트남 소스 뿌려주는데서 먹어봤는데 시큼한게 소스가 잘 안맞더라,0
이진 이쁘고 매력있다.,0
애국보수의 심장,0
놀란형의 신박한 소재는 있는데 항상 던지던 메세지가 느껴지지않고 몰입도 떨어져서 조금 실망스런 작품입니다,0
업계에서 일하는 지인 말 들어보니까 파인 다이닝은 진짜 존나 성공한 셰프들이 자아 실현하려고 취미 쯤으로 운영하는 거라더라,0
슈슉슈슈슉 슈슈슈슉슈슉 기레기 시팔로마 본인 사상 실토한거냐고 ㅋㅋㅋ,1
예아~,0
동남아 혼혈들한테 빵셔틀 잘하게 생김,0
아가리 똥내로 객사할 듯,1
반미 샌드위치하니까 페북 틀딱들이 반미라는 말에 불매 ㅇㅈㄹ하면서 발작했던거 생각나네ㅋㅋ,0
수틀리면 형수 야지도 찢는데 그정도는 껌이지,0
이쯤되면 뭐가 있는데,0
중개사 수수료 너무 비싼건 사실이다. 조정 필요하다~. 비싼집이든 싼 집이든 중개사가 하는 일은 같은데 왜 수수료율은 다르게 적용하는건지...,0
나만 어려운게 아니어서 그나마 위안이 된다.,0
500과금이면 중립생활한거 아님..? 라인이나 연합치곤 적은데 ㅋㅋ,0
솔까말 보고 싶은 대로 보는 사람이지 ㅋㅋㅋㅋ,0
루트마스 씨발 ㅋㅋ,1
꼬우면 승리처럼 전라도에서 태어나서 민주당 끼고 했어야지 ㅋㅋㅋ,0
병신 근첩 새끼 ㅉ,1
런승만이 멍청하게 화전양면전술에 안당했다면 적어도 3일만에 서울을 뺐기진 않았겠지. 10일만 버텨도 미군이 부산이 아니라 인천으로 들어오지 않았을까?,0
맞춤법 좀 틀릴 수도 있는 거니까. 지적하는 사람도 완벽하게 잘 못함. 나는 최대한 그러려고 하지만,0
ㄹㅇ 진짜 구린걸 구리다하지 지 좋아하는캐 욕한다고 입막음하는거 꼭 계집년들이 하는 짓거리랑 똑같음 이번 요이미야때 느낌ㅋㅋ,0
색깔에는 저작권 없노,0
가족시트콤이아니라 가족사기극인데ㅋ 비공개해봐야 며칠쉬고 다시 공개해서 돈벌이할텐데 의미있나? 얘는 돈맛을알아버려서 절대 은퇴안하지,0
가짜광기쉑 바로 진짜광기 먹잇감 되버리노ㅋㅋㅋㅋㅋ,0
일베벌레들은 일베인거 들키는 놈은 버림 ㅋㅋ,0
저사람들 근데 어디로 가는거임????,0
세금 올리려고 별ㅈㄹ을 다하네,0
그래서 지금 저출산으로 센징 없애고 있자나 저출산이 나쁜것만은 아님,1
q쿨 늘어나고 라인카르마 뒤지지 않았나,0
ㅋㅋㅋㅋㅋㅋㅋㅋ 하꼬들 ㅂㄷㅂㄷ,0
아 피슬보다 기댓값 높으면 됐지 뭐ㅋㅋ,0
이게 맞지,0
개슬람이든 아니든 종교 시설이면 그게 그거라고,0
정보)대기업이고뭐고 2030은 집없으면 이미 인생망했다,0
퍼리 죽어,0
나는 여성 청결제 나오네...ㅋㅋㅋㅋㅋㅋㅋㅋ,0
활활타노ㅋㅋ,0
누구신지 ㅠㅠ,0
비민번호468 부르신분 맞죠?,0
송중기 정도면 이쁘고 어리고 똑똑한 여자가 줄을 설텐데.. 돈이야 본인도 충분히 있고.. 굳이 나이 40다되가는 사람이랑 왜 결혼했나 싶다. 그당시 콩깍지가 씌인듯,0
어릴때 그러던대 다른반 한남이,1
FiSH라는 닉의 형제가 후원하는걸로 암 따로 회사는 없을껄?,0
맘스터치 의 모기업이 파파이스 아니였나? 맘스터치 심장쫄리겠는대?,0
저런 도로에서 정차 하는거 봤냐? 당연히 저상황이면 4p가 아니라 브렘보 조상님이 와도 못세움. 내말은 최소 50키로 이상은 달릴꺼라고 가정하고 같이 도로를 공유하는건데. 시발럼아 그리고 저 사고는 차간거리가 문제가 아니야. 정차가 불가능한 도로에서 선건데 씨발. 참고로 블박차도 무적권 과실은 잡힘. 내가 말하는 적당함이라는건 사회적으로 용납이 가능한 암묵적인 룰 같은거지,1
빨리 입사해!,0
ㄴ통천지 검거^^,0
위헌 처맞기 딱 좋은 법이네 ㅋㅋㅋ 어떤 무지능 새끼들이 저딴 법을 처만들었을까 ㅋㅋㅋ,0
와 씨  검은피부라서 그런가 더 성숙해보이고 좋네,0
목소리가 안나온게 좀 아쉽노,0
바이러스편이 ㄹㅇ 명작이다  중고로판게 후회됨,0
대리비올리니깐 자꾸 음주운전들하지..코앞가는것도 이만원달라하구...,0
군병원 의사들은 똑바로 못하는게 아니고 걍 대충하는거임 군의관들 이래봬도 밖에서 진료하는 전문의랑 다를거없는 인턴 레지던트 다 마치고 전문의시험 붙고 나온 전문의들임,0
레넥은 템빨 잘 못 받는 챔프라 풀템전이면 딴 캐에 비해 약함,0
저게 지들 밥그릇이랑 뭔 연관이 있노,0
논란은 늘 이런 기사의 제목이 한 몫 하는 듯!돈 많은 사람들은 돈을 써야 경제가 돌아가죠 명품을 입든말든~ 이런 제목 진짜 별루에요..ㅡㅡ,0
고민 좀 해봐야겠네,0
상식적이면 20대에는 여자가 돈 더많은게 정상 아니냐?,0
살만한가보네 랩읊조릴시간도있고,0
애새끼들 처웃기다고 듣는거 개씹노이해,1
와 씨발 상상불허,1
이거는 백종원도 못참지,0
예쁘노,0
그래서 나는 발풋.... 이제 돌아갈수가없는 몸이 되버렸음 스테미너 회복 너무 좋아,0
농심이 웃길듯,0
저딴 pd밑에있으면 ㄹㅇ 일하는맛 ㅈㄴ게 떨어지겠네,0
댓글들이 개빻아서 성비를보니 여자 70프로 ㅋㅋㅋ,1
얘네는 걍 폼이 오짐,0
어디에서 웃음 포인트가 있는지 모르겠음..지루했다..,0
문희씨 역시 짱이에옹 감동짱,0
입술 무식하게 시뻘건색 바르는 년들이 제일 이해안가,0
직원들 댓글 열심히 달고잇노,0
18:07 26만원 메모,0
침붕이캠에서 저정도면 짐작도안되노 ㄹㅇ,0
이건 진짜 씹고수 프로수준이네 ㄷㄷ,0
데미지너프오지게당해서 별로일걸,0
아니 내용 이해도 못했으면서 10점주는 사람들 도대체 무슨생각임??,0
일생을 걸만한 녀자들이었길 진심으로 바랍니다~~,0
딱봐도 남자 둘이 힘든 상황에서 전우애 나눈거 아님?,0
"민족도 종파도 다른 애들을 한 나라로 넣은게 영국, 파슈툰족 영토를 아프간-파키스탄으로 갈라서 탈레반이 양국 왔다갔다 거리면서 두더지게임 하게 만든 원인 제공도 영국인데쓰..",0
백수=입대,0
혼자 21킬쯤은해야 간신히 이기는 겜이구나,0
왜 힘든 일은 여성할당제 주장 안 함? 왜 힘들고 고된 일은 다 남자의 몫이고 편한 일만 여성할당제 주장함?,0
ㅄ 누가 고백을 카톡으로 하냐,0
내가 봤을 때는 이란이나 아프간이나 거기서 거기구만 지들끼리 차별하고 지랄났노 아주 ㅋㅋ,0
가수만 하는게 아니라 번역일도 했었노 ㅋㅋㅋ,0
농심이 다전제 2판을 연속해서 못이김,0
주절주절 ㅁㅈㅎ,0
애미ㅋㅋㅋ,1
이대로 가면 충분할거 같은데,0
다 애 낳지 말아야겠네요. 애 키우는데 몸도 고생하지 돈은 너무 많이들고 그렇다고 애가 내 노후 책임지지도 못 하고 자기들 살기 바쁠 텐데... 회사서 헤택도 없고 독신이면 그돈과 체력 나만 누릴수 있고 노후 자금까지 .. 우리 늙으면 세금 낼 사람없지만 당장 나 힘든게 문제지 몬 상관이래요.,0
매말이,0
경허니 일도 열심 이쁘고 싹싹하고 요리도 잘하고 흥해라 허니 달려라 허니,0
그건 중학생,0
당신이 최고야 당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야당신이 최고야  정말로 고마워요콘 어엏엏ㅇ허엏ㅇ,0
혹시 조상중에 이완용 있음?,0
이거 실제 발음은 바인미? 이쪽에 가깝다며 그런 건 모르겠고 반미!,0
장바릌ㅋㅋㅋ,0
능국판 지금 만나러 갑니다,0
tvn은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다..,0
원래 변기가 세상에서 제일 깨끗한거 아녔어? 전부다 변기보다 더럽던데?,0
군의관 나부랭이를 어케믿냐,0
기가 막히고 말문이 막힌다 진짜 쳐 돌았네,0
강인이는 축구만 하는줄 알았더니ㅠ,0
개복어도 장가 보내자!,0
소속감 외엔 내세울 게 없는 사람들인데 하고 다니거나 말거나 무슨 신경을 씀?,0
개별로인데 핀란드가 저럼?,0
원래 바보가 하나 배우면 그거만 반복하는법임,0
이란이랑 아프간이랑 주류 종파가 달라서 더 심할거임. 말 잘 안통하는건 말할 것도 없고.. 이란도 나라 사정 안좋은데 난민 취급이 좋을 리가 없지,0
그런식으로 따지면 내가 서폿하지 탑을 왜 쳐하냐? 탑 트린 개 말려놨고 앞에서 몸빵 다해주고 말 그대로 카타만 조심하면 되는건데 내가 카타 보면 앞에 카이사는 누가봄? 내가 카타랑 카이사 보면 트린은 누가봄? 뭐 이런거랑 똑같은거 아니냐? 씨발 ㅋㅋ,1
ㅋㅋ 조리돌림 당하는줄은 아노 커뮤하는놈들이 많아서 ㅋㅋ 그간 할땐 재밋다고 캬캬캬캬 하더만,0
군의관하기싫으면 병사로가던가 .,0
김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정! 김유정!,0
딱 물로켓수준 캡스등장하면 꼼짝못함,0
"외전 모르는 입장에서 듀좆 최대 업적이라곤 갤주 납치인데 접대는 오지게 받으니까 욕먹지, 쩨례는 단속당한 브로냐 구했다고",1
